Scout|Tatooine|Bestine|-1292 -3560
Scout|Tatooine|Bestine|-1256 -3581
Scout|Tatooine|Mos Eisley|3476 -4668
Scout|Tatooine|Mos Eisley|3476 -4668
Scout|Tatooine|Mos Eisley|3520 -4787
Scout|Tatooine|Mos Entha|1389 3025
Scout|Tatooine|Mos Entha|1304 3198
Scout|Tatooine|Mos Espa|-3012 2435
Scout|Tatooine|Mos Espa|-2907 2116
Scout|Tatooine|Wayfar|-5051 -6629
Scout|Talus|Dearic|700 -2911
Scout|Talus|Dearic|552 -2904
Scout|Talus|Nashal|4377 5302
Scout|Talus|Nashal|4304 5396
Scout|Rori|Narmle|-4952 -2374
Scout|Rori|Narmle|-5211 -2925
Scout|Rori|Restuss|5458 5796
Scout|Rori|Restuss|5371 5539
Scout|Naboo|Kaadara|5110 5781
Scout|Naboo|Kaadara|5193 6615
Scout|Naboo|Keren|1845 2705
Scout|Naboo|Keren|1839 2625
Scout|Naboo|Keren|1512 2760
Scout|Naboo|Moenia City|4839 -4702
Scout|Naboo|Theed City|-5982 4227
Scout|Naboo|Theed City|-5468 4106
Scout|Naboo|Theed City|-4796 4103
Scout|Corellia|Bela Vistal|6724 -5682
Scout|Corellia|Bela Vistal|6866 -5795
Scout|Corellia|Coronet|-256 -4378
Scout|Corellia|Coronet|-168 -4711
Scout|Corellia|Doaba Guerfel|3333 5510
Scout|Corellia|Doaba Guerfel|3199 5232
Scout|Corellia|Kor Vella|-3165 2801
Scout|Corellia|Kor Vella|-3399 3378
Scout|Corellia|Tyrena|-5474 -2738
Pistoleer|Tatooine|Mos Eisley|3356 -4837
Pistoleer|Talus|Dearic|583 -2871
Pistoleer|Rori|Narmle|-5241 -2455
Pistoleer|Naboo|Keren|1258 2688
Pistoleer|Corellia|Tyrena|-5220 -2488
Bounty Hunter|Tatooine|Mos Eisley|3359 -4840
Bounty Hunter|Tatooine|Wayfar|-5151 -6588
Bounty Hunter|Rori|Narmle|-5232 -2241
Bounty Hunter|Naboo|Keren|2083 2575
Bounty Hunter|Corellia|Tyrena|-5130 -2302
Marksman|Tatooine|Bestine|-1272 -3538
Marksman|Tatooine|Bestine|-1258 -3604
Marksman|Tatooine|Mos Eisley|3454 -4667
Marksman|Tatooine|Mos Eisley|3552 -4711
Marksman|Tatooine|Mos Eisley|3506 -4760
Marksman|Tatooine|Mos Entha|1374 3044
Marksman|Tatooine|Mos Entha|1321 3104
Marksman|Tatooine|Mos Espa|-3028 2420
Marksman|Tatooine|Mos Espa|-2931 2121
Marksman|Talus|Dearic|540 -2885
Marksman|Talus|Dearic|586 -2873
Marksman|Talus|Nashal|4366 5294
Marksman|Talus|Nashal|4285 5384
Marksman|Rori|Narmle|-5200 -2444
Marksman|Rori|Restuss|5528 5641
Marksman|Rori|Restuss|5446 5815
Marksman|Naboo|Deeja City|4980 -1425
Marksman|Naboo|Kaadara|5090 6785
Marksman|Naboo|Kaadara|5182 6632
Marksman|Naboo|Keren|1992 2515
Marksman|Naboo|Keren|1823 2614
Marksman|Naboo|Keren|1538 2751
Marksman|Naboo|Moenia City|4721 -4997
Marksman|Naboo|Moenia City|4722 -4997
Marksman|Naboo|Moenia City|4794 -4730
Marksman|Naboo|Theed City|-5982 4254
Marksman|Naboo|Theed City|-5456 4088
Marksman|Naboo|Theed City|-4864 4080
Marksman|Naboo|Theed City|-4674 3995
Marksman|Corellia|Bela Vistal|6770 -5714
Marksman|Corellia|Bela Vistal|6885 -5783
Marksman|Corellia|Coronet|-273 -4390
Marksman|Corellia|Coronet|-35 -4372
Marksman|Corellia|Coronet|-165 -4746
Marksman|Corellia|Doaba Guerfel|3338 5516
Marksman|Corellia|Doaba Guerfel|3213 5250
Marksman|Corellia|Kor Vella|-3130 2791
Marksman|Corellia|Kor Vella|-3410 3397
Marksman|Corellia|Tyrena|-5463 -2755
Marksman|Corellia|Tyrena|-5249 -2306
Marksman|Corellia|Tyrena|-5041 -2324
Armorsmith|Corellia|Bela Vistal|6872 -5429
Armorsmith|Tatooine|Bestine|-1245 -3505
Armorsmith|Corellia|Doaba Guerfel|3127 5291
Armorsmith|Talus|Dearic|351 -2867
Armorsmith|Talus|Dearic|599 -3070
Armorsmith|Naboo|Kaadara|5139 6813
Armorsmith|Naboo|Keren|1801 2565
Armorsmith|Naboo|Keren|1890 2767
Armorsmith|Corellia|Kor Vella|-3164 2791
Armorsmith|Corellia|Kor Vella|-3701 3071
Armorsmith|Naboo|Moenia|4792 -5000
Armorsmith|Tatooine|Mos Eisley|3349 -4691
Armorsmith|Tatooine|Mos Entha|1247 3248
Armorsmith|Tatooine|Mos Entha|1302 3394
Armorsmith|Tatooine|Mos Espa|-3073 2057
Armorsmith|Rori|Narmle|-5025 -2417
Armorsmith|Rori|Narmle|-5248 -2358
